file_name,file_size_mb,duration,unique_speakers,data_shape,sample_rate,channels,rms_energy,zero_crossing_rate,spectral_centroid
shared-videos/1.30 The Authorised Portrait/Box3/Peter Preston/Preston_Tape1_Side1.mp3,79.82,2092.343333333333,3.0,2x92272341,44100.0,2.0,0.0468351393938064,0.0259606260317251,973.7771978609252
shared-videos/1.30 The Authorised Portrait/Box3/Fatima Meer/Tape2/Meer_Tape2_Side1.mp3,27.92,731.7839455782313,2.0,2x32271672,44100.0,2.0,0.1100664138793945,0.0179937500991575,712.4633985283939
shared-videos/1.30 The Authorised Portrait/Box3/Fatima Meer/Tape2/Meer_Tape2_Side2.mp3,27.54,721.910634920635,4.0,2x31836259,44100.0,2.0,0.0415591336786747,0.0200305248613925,756.4148986610303
shared-videos/1.30 The Authorised Portrait/Box3/Fatima Meer/Tape1/Meer_Tape1_Side1.mp3,106.19,2783.5280952380954,7.0,2x122753589,44100.0,2.0,0.0835174247622489,0.0185283828684818,707.6650550790566
shared-videos/1.30 The Authorised Portrait/Box3/Lord David Owen/Owen_Tape1_Side1.mp3,72.82,1908.7726757369608,2.0,2x84176875,44100.0,2.0,0.0773919448256492,0.0336989795869878,1204.9476017508432
shared-videos/1.30 The Authorised Portrait/Box3/George Soros/Soros_Tape1_Side1.mp3,93.37,2447.4694784580497,5.0,2x107933404,44100.0,2.0,0.035888884216547,0.0355991700682611,1062.2352621032082
shared-videos/1.30 The Authorised Portrait/Box3/N. Motlana/Motlana_Tape1_Side1.mp3,65.33,1712.298820861678,4.0,2x75512378,44100.0,2.0,0.156186431646347,0.0234951623851162,837.2502000926316
shared-videos/1.30 The Authorised Portrait/Box3/Ruth Mompati/Tape2/Mompati_Tape2_Side1.mp3,24.76,649.01,3.0,2x28621341,44100.0,2.0,0.0630527883768081,0.0236867590968346,966.6049858821316
shared-videos/1.30 The Authorised Portrait/Box3/Ruth Mompati/Tape1/Mompati_Tape1_Side1.mp3,109.43,2868.3655328798186,5.0,2x126494920,44100.0,2.0,0.0690265297889709,0.0238981636082536,893.5029875502281
shared-videos/1.30 The Authorised Portrait/Box3/Ruth Mompati/Tape1/Mompati_Tape1_Side2.mp3,109.56,2871.891700680272,3.0,2x126650424,44100.0,2.0,0.0761705860495567,0.0252049887059608,953.4953863204994
shared-videos/1.30 The Authorised Portrait/Box3/Gillian Slovo/Slovo_Tape1_Side1.mp3,109.65,2874.216371882086,3.0,2x126752942,44100.0,2.0,0.0558700375258922,0.046247870272075,1466.8916121828026
shared-videos/1.30 The Authorised Portrait/Box3/Gillian Slovo/Slovo_Tape1_Side2.mp3,46.05,1207.0616326530612,2.0,2x53231418,44100.0,2.0,0.0631909742951393,0.0473871345555243,2748.6442947187224
shared-videos/1.30 The Authorised Portrait/Box3/S. Magoba/Majoba_Tape1_Side1.mp3,72.61,1903.2091609977324,3.0,2x83931524,44100.0,2.0,0.1429434716701507,0.0163795097887271,674.0756594016661
shared-videos/1.30 The Authorised Portrait/Box3/Lord Robin Renwick/Renwick_Tape1_Side1.mp3,109.93,2881.47768707483,4.0,2x127073166,44100.0,2.0,0.0498738400638103,0.0268888372913644,983.9144275487182
shared-videos/1.30 The Authorised Portrait/Box3/Lord Robin Renwick/Renwick_Tape1_Side2.mp3,67.09,1758.5571655328797,3.0,2x77552371,44100.0,2.0,0.0284341163933277,0.0290483502560325,1056.2777029069082
shared-videos/1.30 The Authorised Portrait/Box3/Billy Nair/Tape3/Nair_Tape3_Side1.mp3,109.3,2865.0221768707484,4.0,2x126347478,44100.0,2.0,0.1368575990200042,0.0200756283988726,687.3060987084826
shared-videos/1.30 The Authorised Portrait/Box3/Billy Nair/Tape3/Nair_Tape3_Side2.mp3,91.45,2397.1103174603177,2.0,2x105712565,44100.0,2.0,0.1117041707038879,0.0176841033390141,657.0746531337762
shared-videos/1.30 The Authorised Portrait/Box3/Billy Nair/Tape2/Nair_Tape2_Side1.mp3,109.3,2864.8654421768706,3.0,2x126340566,44100.0,2.0,0.0893837437033653,0.0185377412462666,615.1123448721412
shared-videos/1.30 The Authorised Portrait/Box3/Billy Nair/Tape2/Nair_Tape2_Side2.mp3,88.24,2312.8214058956914,2.0,2x101995424,44100.0,2.0,0.1113442182540893,0.0178343298803712,621.6193128639251
shared-videos/1.30 The Authorised Portrait/Box3/Billy Nair/Tape1/Nair_Tape1_Side1.mp3,109.37,2866.6938321995467,3.0,2x126421198,44100.0,2.0,0.0762807056307792,0.0195854437074249,652.0224426500887
shared-videos/1.30 The Authorised Portrait/Box3/Billy Nair/Tape1/Nair_Tape1_Side2.mp3,109.27,2864.134081632653,5.0,2x126308313,44100.0,2.0,0.07540263235569,0.0189089396083641,651.1307449889509
shared-videos/1.30 The Authorised Portrait/Box3/Richard Stengel/Stengel_Tape1_Side1.mp3,109.91,2881.0597959183674,4.0,2x127054737,44100.0,2.0,0.0492521300911903,0.0465901840282395,1429.974924114876
shared-videos/1.30 The Authorised Portrait/Box3/Richard Stengel/Stengel_Tape1_side2.mp3,43.78,1147.5604988662133,2.0,2x50607418,44100.0,2.0,0.0477925650775432,0.0346809065260058,1249.596796813267
shared-videos/1.30 The Authorised Portrait/Box3/Mac Maharaj/Tape2/Maharaj_Tape2_Side1.mp3,58.73,1539.411201814059,2.0,2x67888034,44100.0,2.0,0.1071342080831527,0.0152340664040699,555.3097027352981
shared-videos/1.30 The Authorised Portrait/Box3/Mac Maharaj/Tape1/Maharaj_Tape1_Side1.mp3,72.79,1907.91074829932,5.0,2x84138864,44100.0,2.0,0.0848435759544372,0.0180529344962089,649.6983200161459
shared-videos/1.30 The Authorised Portrait/Box3/Mac Maharaj/Tape1/Maharaj_Tape1_Side2.mp3,68.06,1784.0763038548753,3.0,2x78677765,44100.0,2.0,0.1099352538585662,0.0217206195184179,758.9100000932393
shared-videos/1.30 The Authorised Portrait/Box3/Albie Sachs/Sachs_Tape1_Side1.mp3,55.94,1466.379977324263,2.0,2x64667357,44100.0,2.0,0.0767188966274261,0.0481445915583631,1402.9770067399922
shared-videos/1.30 The Authorised Portrait/Box3/Minidiscs/01. Neville Alexander.mp3,42.24,1107.274716553288,2.0,2x48830815,44100.0,2.0,0.0199876595288515,0.0839824551120993,3986.6476888432194
shared-videos/1.30 The Authorised Portrait/Box3/Minidiscs/02. Motlana.mp3,163.65,4289.461927437642,6.0,2x189165271,44100.0,2.0,0.0283542070537805,0.0742615326273331,3956.37779708048
shared-videos/1.30 The Authorised Portrait/Box3/Minidiscs/03. Dennis Goldberg.mp3,75.5,1979.104671201814,3.0,2x87278516,44100.0,2.0,0.0204590819776058,0.1023648788926384,4354.651880965002
shared-videos/1.30 The Authorised Portrait/Box3/Minidiscs/05.  Mac Maharaj.mp3,137.16,3595.1427664399093,3.0,2x158545796,44100.0,2.0,0.0287570767104625,0.0617434589297536,3523.60554214421
shared-videos/1.30 The Authorised Portrait/Box3/Minidiscs/06. Cyril Ramaphosa.mp3,60.31,1580.932947845805,2.0,2x69719143,44100.0,2.0,0.0174528714269399,0.1249284060230335,5359.549968001878
shared-videos/1.30 The Authorised Portrait/Box3/Minidiscs/07. Zeleta Le Grange.mp3,44.74,1172.600566893424,2.0,2x51711685,44100.0,2.0,0.0290529951453208,0.0542588615795173,2842.935832666461
shared-videos/1.30 The Authorised Portrait/Box3/Minidiscs/08. Tutu 12.4.2005.mp3,69.19,1813.7134693877551,3.0,2x79984764,44100.0,2.0,0.0631937608122825,0.0961684801199102,3135.687727060247
shared-videos/1.30 The Authorised Portrait/Box3/Minidiscs/09. Various.mp3,185.36,4858.640612244898,7.0,2x214266051,44100.0,2.0,0.0207340121269226,0.0691725824185343,3397.8170908042
shared-videos/1.30 The Authorised Portrait/Box3/Minidiscs/10. Thabo Mbeki on Mandela 08.10.2005.mp3,138.84,3639.128684807256,2.0,2x160485575,44100.0,2.0,0.0560349188745021,0.0822925876199158,2847.8380197679635
shared-videos/1.30 The Authorised Portrait/Box3/Sidney poitier/Poitier_Tape1_Side1.mp3,107.37,2814.271201814059,5.0,2x124109360,44100.0,2.0,0.0532833077013492,0.0183575334858262,675.4054951127092
shared-videos/1.30 The Authorised Portrait/Box3/Helen Suzman/Suzman_Tape1_Side1.mp3,92.54,2425.5548752834466,5.0,2x106966970,44100.0,2.0,0.0795126482844352,0.0260239182088239,811.0754322198712
shared-videos/1.30 The Authorised Portrait/Box3/Esme Matshikize/Tape2/Matshikize_Tape2_Side1.mp3,19.27,505.219977324263,2.0,2x22279680,44100.0,2.0,0.0495469234883785,0.024195998849561,948.6224997254852
shared-videos/1.30 The Authorised Portrait/Box3/Esme Matshikize/Tape1/Matshikize_Tape1_Side1.mp3,97.12,2545.8109070294786,4.0,2x112270261,44100.0,2.0,0.0936708897352218,0.0178364879926964,768.881203878139
shared-videos/1.30 The Authorised Portrait/Box2/Lord Joel Joffe/Joffe_Tape1_Side1.mp3,109.84,2879.153015873016,8.0,2x126970648,44100.0,2.0,0.0232912730425596,0.0234327016556867,954.0981802245376
shared-videos/1.30 The Authorised Portrait/Box2/Lord Joel Joffe/Joffe_Tape1_Side2.mp3,109.19,2862.0444897959183,12.0,2x126216162,44100.0,2.0,0.062127511948347,0.0252219263594959,1065.8169250910569
shared-videos/1.30 The Authorised Portrait/Box2/Fergal Keene/Keene_Tape1_Side1.wav,441.14,2622.2639455782314,3.0,2x115641840,44100.0,2.0,0.0497584156692028,0.0357347018885618,1381.035024039845
shared-videos/1.30 The Authorised Portrait/Box2/Shaun Johnson/Johnson_Tape1_Side1.wav,391.01,2324.288276643991,2.0,2x102501113,44100.0,2.0,0.0315733961760997,0.0242102359679542,1282.164146823584
shared-videos/1.30 The Authorised Portrait/Box2/Lord Bob Hughes/Hughes_Tape1_Side1.mp3,108.72,2849.6407482993195,,2x113291136,44100.0,2.0,0.0625138655304908,0.0237597379970974,1001.1213943193866
shared-videos/1.30 The Authorised Portrait/Box2/Lord Bob Hughes/Hughes_Tape1_Side2.mp3,54.84,1437.5174829931973,2.0,2x63394521,44100.0,2.0,0.0526659116148948,0.0243678402663082,1038.9642039380965
shared-videos/1.30 The Authorised Portrait/Box2/Eddie Daniels/Daniels_Tape1_Side1.wav,482.25,2866.647619047619,3.0,2x126419160,44100.0,2.0,0.0242036338895559,0.0120977067010951,933.2165931448678
shared-videos/1.30 The Authorised Portrait/Box2/Ken Livingstone/Livingstone_Tape1_Side1.wav,467.0,2775.961972789116,4.0,2x122419923,44100.0,2.0,0.0152754243463277,0.0138894718081875,1253.9033939206945
shared-videos/1.30 The Authorised Portrait/Box2/Basil Davidson/Davidson_Tape1_Side1.wav,483.58,2874.5539229024944,5.0,2x126767828,44100.0,2.0,0.0736415088176727,0.0233108159489426,1343.470930222793
shared-videos/1.30 The Authorised Portrait/Box2/Baroness Betty Boothroyd/Boothroyd_Tape1_Side1.wav,482.77,2869.7067573696145,5.0,2x126554068,44100.0,2.0,0.0021741113159805,0.0190090820596963,2352.5356913917967
shared-videos/1.30 The Authorised Portrait/Box2/Baroness Betty Boothroyd/Boothroyd_Tape1_Side2.wav,67.29,400.0,2.0,2x17640000,44100.0,2.0,0.0169396940618753,0.0263584575629825,1757.2486443129335
shared-videos/1.30 The Authorised Portrait/Box2/Richard Attenborough/Attenborough_Tape1_Side1.mp3,84.46,2213.905328798186,6.0,2x97633225,44100.0,2.0,0.0582947917282581,0.0144068344318658,655.2154142155072
shared-videos/1.30 The Authorised Portrait/Box2/Richard Branson/Branson_Tape1_Side1.wav,260.94,1551.0803628117917,4.0,2x68402644,44100.0,2.0,0.0300928857177495,0.0290411028876526,1141.6770635569058
shared-videos/1.30 The Authorised Portrait/Box2/Gordon Brown/Brown_Tape1_Side1.wav,296.06,1759.845238095238,4.0,2x77609175,44100.0,2.0,0.0424785614013671,0.0176190413974211,1090.77307382072
shared-videos/1.30 The Authorised Portrait/Box2/Chaskalson Arthur/Chaskalson_Tape1_Side1.wav,390.8,2323.015918367347,4.0,2x102445002,44100.0,2.0,0.0297755096107721,0.0128037486748018,1200.106693550324
shared-videos/1.30 The Authorised Portrait/Box2/Professor Stuart Hall/Hall_Tape1_Side1.wav,484.14,2877.868571428572,5.0,2x126914004,44100.0,2.0,0.0299642700701951,0.0189106626714798,1691.8291669854116
shared-videos/1.30 The Authorised Portrait/Box2/George Bizos/Bizos_Tape1_Side1.wav,448.99,2668.929614512472,5.0,2x117699796,44100.0,2.0,0.0484596528112888,0.0233136428367908,1416.487785092128
shared-videos/1.30 The Authorised Portrait/Box2/Antjie Krog/Krog_Tape1_Side1.wav,468.16,2782.8791156462585,4.0,2x122724969,44100.0,2.0,0.0355104990303516,0.036281740542396,1520.728226021883
shared-videos/1.30 The Authorised Portrait/Box2/Antjie Krog/Krog_Tape1_Side2.wav,81.01,481.5081632653061,3.0,2x21234510,44100.0,2.0,0.0400398522615432,0.0304862143488993,1452.0005068259525
shared-videos/1.30 The Authorised Portrait/Box2/Andre Brink/Brink_Tape1_Side1.wav,341.08,2027.445782312925,2.0,2x89410359,44100.0,2.0,0.1308801174163818,0.018047104838623,653.2900693134064
