Name/Entity,Entity Type,Mention Count,Number of Files
South African Communist Party,ORGANIZATION,46,36
Archbishop,PERSON,46,28
David,PERSON,45,34
Dennis,PERSON,44,16
Transkei,LOCATION,44,31
Zuma,PERSON,44,32
de Klerk,PERSON,44,35
National Executive,ORGANIZATION,44,31
Americans,PERSON,43,34
80s,DATE_TIME,43,32
June,DATE_TIME,43,41
Jesus Christ,PERSON,43,23
Harare,LOCATION,43,26
the clerk,PERSON,43,29
Forte,LOCATION,43,22
Mr. Flock,PERSON,43,29
July,DATE_TIME,42,34
Egypt,LOCATION,42,33
70s,DATE_TIME,41,33
Osaka,LOCATION,41,30
King Kong,EVENT,40,19
Sam,PERSON,40,32
National Executive Committee,ORGANIZATION,40,31
Mary,PERSON,40,26
British government,ORGANIZATION,40,23
Paul,PERSON,39,31
Joburg,LOCATION,39,30
elections,EVENT,39,34
Thabo,PERSON,39,29
mass democratic movement,ORGANIZATION,39,31
Congo,LOCATION,38,27
December,DATE_TIME,38,35
Apartheid regime,EVENT,37,31
Middle East,LOCATION,37,32
South African police,ORGANIZATION,37,34
Jesus,PERSON,37,28
Berlin,LOCATION,36,23
1980s,DATE_TIME,36,27
South African Defence Force,ORGANIZATION,36,18
Richard,PERSON,36,19
Harare Declaration,EVENT,36,28
U.S.,LOCATION,35,28
Morocco,LOCATION,35,26
Congress of the People,EVENT,35,18
Algeria,LOCATION,35,27
Democratic Party,ORGANIZATION,35,26
UNITA,ORGANIZATION,34,21
Scandinavian countries,LOCATION,34,23
August,DATE_TIME,34,31
Morogoro,LOCATION,34,23
State Department,ORGANIZATION,34,15
Portuguese,PERSON,34,18
Joe Slovo,PERSON,34,27
CIA,ORGANIZATION,34,20
Archbishop Tutu,PERSON,34,27
Gwangwa,PERSON,33,11
Free State,LOCATION,33,23
Ireland,LOCATION,33,26
1950s,DATE_TIME,33,29
1960s,DATE_TIME,33,28
Alexander,LOCATION,33,21
March,DATE_TIME,33,30
Soviet,ORGANIZATION,33,20
East London,LOCATION,33,29
Lutuli,PERSON,33,24
Prime Minister,PERSON,33,29
United Democratic Front,ORGANIZATION,33,24
Eastern Europe,LOCATION,33,25
Mr. President,PERSON,33,22
SAP,ORGANIZATION,33,16
Xhosa,LOCATION,32,27
Norway,LOCATION,32,22
Nyerere,PERSON,32,22
Reagan,PERSON,32,22
Charles,PERSON,32,21
27th of April,DATE_TIME,32,25
Scandinavia,LOCATION,31,14
Congress of Democrats,ORGANIZATION,31,23
Tokyo,LOCATION,31,17
Second World War,EVENT,31,23
Gandhi,PERSON,31,23
MPLA,ORGANIZATION,31,13
AEC,ORGANIZATION,31,20
New Age,ORGANIZATION,31,13
Caprivi,LOCATION,31,14
election,EVENT,31,20
Anglo-Boer War,EVENT,31,9
Constant,PERSON,31,4
Winnie Mandela,PERSON,30,23
East Rand,LOCATION,30,18
PNC,ORGANIZATION,30,19
27 years,DATE_TIME,30,27
Freedom Alliance,ORGANIZATION,30,13
California,LOCATION,29,18
townships,LOCATION,29,25
Martin Luther King,PERSON,29,20
PW,PERSON,29,15
White House,ORGANIZATION,29,26
BBC,ORGANIZATION,29,22
Cyril Ramaphosa,PERSON,29,19
Boutelezi,PERSON,29,15
Uganda,LOCATION,29,25
Union,ORGANIZATION,29,20
Defiance Campaign,EVENT,29,22
Owar,PERSON,29,12
Victoria,LOCATION,29,26
political prisoners,PERSON,29,28
third force,EVENT,29,20
Philip Powell,PERSON,29,10
San Francisco,LOCATION,28,22
SABC,ORGANIZATION,28,22
Stockholm,LOCATION,28,23
Liberal Party,ORGANIZATION,28,21
Oxford,LOCATION,28,21
Hitler,PERSON,28,25
Zulus,PERSON,28,21
Eugene de Kock,PERSON,28,14
United States of America,LOCATION,27,22
November,DATE_TIME,27,26
Libya,LOCATION,27,20
Cold War,EVENT,27,23
Mr. Tambo,PERSON,27,14
Harvard,ORGANIZATION,27,18
New Zealand,LOCATION,27,22
Jacob Zuma,PERSON,27,19
Children's Fund,ORGANIZATION,27,17
TRC,EVENT,27,18
Miriam,PERSON,26,15
Denmark,LOCATION,26,18
US,LOCATION,26,20
Amsterdam,LOCATION,26,18
Ethiopia,LOCATION,26,20
United Front,EVENT,26,17
NC,ORGANIZATION,26,19
PEC,ORGANIZATION,26,15
PHC,ORGANIZATION,26,22
Ronnie,PERSON,26,17
Mrs. Thatcher,PERSON,26,14
States,LOCATION,25,21
50s,DATE_TIME,25,22
Bloemfontein,LOCATION,25,22
Netherlands,LOCATION,25,22
Poland,LOCATION,25,22
Alex,PERSON,25,19
Cairo,LOCATION,25,13
1994 Election,EVENT,25,21
Central Committee,ORGANIZATION,25,21
Tim,PERSON,25,19
police,ORGANIZATION,25,25
FW de Klerk,PERSON,25,16
IEC,ORGANIZATION,25,9
Joseph,PERSON,24,20
Ray,PERSON,24,13
Chicago,LOCATION,24,20
May,DATE_TIME,24,19
John Collins,PERSON,24,10
Ruth First,PERSON,24,17
Nairobi,LOCATION,24,17
Tembi,PERSON,24,10
Mrs. Mandela,PERSON,24,15
the island,LOCATION,24,17
Switzerland,LOCATION,24,18
Malawi,LOCATION,24,20
CODESA,EVENT,24,12
Anglican Church,ORGANIZATION,24,17
UCT,ORGANIZATION,24,17
United Kingdom,LOCATION,24,15
God,PERSON,24,17
President de Klerk,PERSON,24,17
Department of Arts and Culture,ORGANIZATION,23,13
Dali,PERSON,23,11
Brazil,LOCATION,23,20
early 70s,DATE_TIME,23,18
Chris Hani,PERSON,23,13
Italy,LOCATION,23,20
Campbell,PERSON,23,18
Robbie,PERSON,23,16
TAC,ORGANIZATION,23,18
World War II,EVENT,23,17
Everton,LOCATION,23,7
Dr. Mandela,PERSON,23,12
Qatar,LOCATION,23,20
Radio Freedom,ORGANIZATION,22,16
Kuma,PERSON,22,14
January,DATE_TIME,22,21
early 80s,DATE_TIME,22,18
Buthelezi,PERSON,22,20
Third Force,ORGANIZATION,22,13
Joe Matthews,PERSON,22,14
Luanda,LOCATION,22,14
Margaret Thatcher,PERSON,22,17
ASAPO,ORGANIZATION,22,12
Ahmad,PERSON,22,14
Goldstone Commission,ORGANIZATION,22,8
Ulundi,LOCATION,22,14
Papa,PERSON,21,12
Russians,PERSON,21,17
Kulu,PERSON,21,16
Kimberley,LOCATION,21,18
Belgium,LOCATION,21,17
early 90s,DATE_TIME,21,17
October,DATE_TIME,21,19
Rome,LOCATION,21,17
youth league,ORGANIZATION,21,16
Michael,PERSON,21,18
UWC,ORGANIZATION,21,17
Sharpeville,EVENT,21,18
February,DATE_TIME,21,19
Oliver Tumble,PERSON,21,14
Nicaragua,LOCATION,21,17
World Trade Center,LOCATION,21,10
Congress Alliance,ORGANIZATION,21,16
Black Consciousness Movement,ORGANIZATION,21,14
Bishop Tutu,PERSON,21,16
Stalin,PERSON,21,16
CP,ORGANIZATION,21,11
SWAPO,ORGANIZATION,21,15
President Mandela,PERSON,21,17
Methodist Church,ORGANIZATION,21,19
government of national unity,ORGANIZATION,21,17
FW,PERSON,21,16
Encarta,ORGANIZATION,21,16
Mungopi,PERSON,21,9
state president,PERSON,21,17
Freedom Front,ORGANIZATION,21,13
Friday,DATE_TIME,21,17
Defence Force,ORGANIZATION,21,9
1994 elections,EVENT,21,11
Nkrumah,PERSON,20,17
Fort Hare,LOCATION,20,16
Georgia,LOCATION,20,15
AFC,ORGANIZATION,20,18
Max,PERSON,20,15
Danny,PERSON,20,14
Tunisia,LOCATION,20,18
Northern Ireland,LOCATION,20,19
Queen,PERSON,20,15
Anglican,ORGANIZATION,20,18
Minister of Justice,PERSON,20,19
international community,ORGANIZATION,20,19
Butelezi,PERSON,20,16
Howard,PERSON,19,10
Union of South Africa,EVENT,19,13
Bonnie,PERSON,19,8
Czechoslovakia,LOCATION,19,14
late 80s,DATE_TIME,19,16
black consciousness,ORGANIZATION,19,15
president,PERSON,19,16
Boers,PERSON,19,14
Portugal,LOCATION,19,17
Catholic Church,ORGANIZATION,19,11
Tom,PERSON,19,16
Mark,PERSON,19,15
Martin,PERSON,19,18
group of eight,EVENT,19,16
Guardian,ORGANIZATION,19,14
Albertina,PERSON,19,13
Jerusalem,LOCATION,19,16
East Africa,LOCATION,19,14
Trevor,PERSON,19,10
RENAMO,ORGANIZATION,19,12
Sanko,ORGANIZATION,19,3
Becky,PERSON,19,16
Supreme Court,ORGANIZATION,19,17
Congress movement,ORGANIZATION,19,13
UNICEF,ORGANIZATION,19,16
Africa South,ORGANIZATION,19,5
Yusuf,PERSON,19,11
Victor,PERSON,19,7
Africans,PERSON,19,17
F. W. De Klerk,PERSON,19,17
Mr. Mbeki,PERSON,19,10
Stellenbosch,LOCATION,19,16
Pietermaritzburg,LOCATION,19,14
Lenin,PERSON,18,16
Finland,LOCATION,18,14
Mbeki,PERSON,18,13
Tata,PERSON,18,16
Spain,LOCATION,18,16
May Day,DATE_TIME,18,12
armed struggle,EVENT,18,17
New York Times,ORGANIZATION,18,16
A. N. C.,ORGANIZATION,18,17
Thambo,PERSON,18,8
Women's League,ORGANIZATION,18,12
Oliver Turnbull,PERSON,18,14
ANC Youth League,ORGANIZATION,18,13
J. B. Marx,PERSON,18,14
NK,ORGANIZATION,18,17
church,LOCATION,18,18
Unity Movement,ORGANIZATION,18,9
University of the Western Cape,ORGANIZATION,18,14
Chinese,LOCATION,18,16
Cathy,PERSON,18,12
Azapo,ORGANIZATION,18,6
Trevor Manuel,PERSON,18,12
DP,ORGANIZATION,18,8
President Clinton,PERSON,18,11
St. James,EVENT,18,9
General Verhoeven,PERSON,18,8
Benoni,LOCATION,17,14
1970s,DATE_TIME,17,17
Romania,LOCATION,17,9
South African regime,ORGANIZATION,17,11
New York City,LOCATION,17,14
American,PERSON,17,16
Mama,PERSON,17,10
Afrikaans,ORGANIZATION,17,16
Pakistan,LOCATION,17,15
Wednesday,DATE_TIME,17,12
Gorbachev,PERSON,17,13
Soviets,ORGANIZATION,17,15
late 70s,DATE_TIME,17,14
David Astor,PERSON,17,6
Geneva,LOCATION,17,13
unity movement,ORGANIZATION,17,10
Revolutionary Council,ORGANIZATION,17,11
Joe Slobo,PERSON,17,16
1990s,DATE_TIME,17,15
Rivonia Trial,EVENT,17,13
Saudi Arabia,LOCATION,17,15
Alan,PERSON,17,14
COD,ORGANIZATION,17,10
Tutu,PERSON,17,17
Senate,ORGANIZATION,17,12
Zaire,LOCATION,17,10
Constitution,ORGANIZATION,17,15
United Party,ORGANIZATION,17,15
South African Council of Churches,ORGANIZATION,17,12
AIDS,EVENT,17,12
Rivonia trial,EVENT,17,12
Holy Cross,ORGANIZATION,16,6
Mike,PERSON,16,14
Cubans,PERSON,16,10
Scotland,LOCATION,16,14
West Africa,LOCATION,16,13
Liberia,LOCATION,16,13
Asia,LOCATION,16,14
Bush,PERSON,16,13
Sambo,LOCATION,16,10
Monday,DATE_TIME,16,14
A&T,ORGANIZATION,16,14
Carter,PERSON,16,13
Comrade O. R.,PERSON,16,11
Portsmouth,LOCATION,16,14
Tennyson,PERSON,16,10
Trump,PERSON,16,15
Nehru,PERSON,16,11
Anglo-American,ORGANIZATION,16,14
University of Cape Town,ORGANIZATION,16,11
Rivonia,LOCATION,16,12
NECC,ORGANIZATION,16,5
Cabo,LOCATION,16,12
Mozambicans,LOCATION,16,13
Iraq,LOCATION,16,16
UTF,ORGANIZATION,16,11
prison,LOCATION,16,16
Mr. Kamala,PERSON,16,2
Internal Security Act,ORGANIZATION,16,8
"27th of April, 1994",DATE_TIME,16,11
Internal Stability Division,ORGANIZATION,16,7
Huddleston,PERSON,15,11
Gauteng,LOCATION,15,10
Buddha,PERSON,15,13
Swedes,PERSON,15,10
East Germany,LOCATION,15,12
Swapo,ORGANIZATION,15,12
Texas,LOCATION,15,14
Hungary,LOCATION,15,13
A and C,ORGANIZATION,15,15
Matthew,PERSON,15,10
Eleanor,PERSON,15,14
Nats,ORGANIZATION,15,11
P. W. Botha,PERSON,15,15
P. W.,PERSON,15,9
Tambor,PERSON,15,13
American Committee on Africa,ORGANIZATION,15,8
Dublin,LOCATION,15,14
Michel,PERSON,15,13
Casper,ORGANIZATION,15,11
French,LOCATION,15,14
NATO,ORGANIZATION,15,12
ANC Women's League,ORGANIZATION,15,6
Non-Aligned Movement,ORGANIZATION,15,9
Chief Lutuli,PERSON,15,8
West,LOCATION,15,13
Trevor Huddleston,PERSON,15,12
Desmond Tutu,PERSON,15,14
Security Council,ORGANIZATION,15,13
SDU,ORGANIZATION,15,10
Chris Honey,PERSON,15,14
Communist Party of South Africa,ORGANIZATION,15,11
Omar,PERSON,15,11
Ronald Siegel,PERSON,15,12
late 60s,DATE_TIME,15,13
Iran,LOCATION,15,15
parliament,EVENT,15,15
President Bush,PERSON,15,12
Comrade Mandela,PERSON,15,11
Mabato,LOCATION,15,10
TEC,ORGANIZATION,15,7
Togoza,LOCATION,15,8
Caprivians,PERSON,15,9
election day,DATE_TIME,15,10
State Security Council,ORGANIZATION,15,9
COSAG,ORGANIZATION,15,7
Mr. Zuma,PERSON,15,5
90th birthday,DATE_TIME,15,10
Obama,PERSON,14,12
Barney,PERSON,14,10
Harlem,LOCATION,14,10
Columbia,LOCATION,14,7
Dutch,ORGANIZATION,14,13
Devon,LOCATION,14,13
Dadu,PERSON,14,12
Clinton,PERSON,14,10
1930s,DATE_TIME,14,13
Black Sash,ORGANIZATION,14,10
House of Commons,ORGANIZATION,14,9
Germans,ORGANIZATION,14,13
Latin America,LOCATION,14,12
Mafeking,LOCATION,14,10
Samora,PERSON,14,9
A&C,ORGANIZATION,14,11
Samara,PERSON,14,9
40s,DATE_TIME,14,13
Christ,PERSON,14,13
township,LOCATION,14,14
Bill of Rights,EVENT,14,10
Swedish government,ORGANIZATION,14,6
Afghanistan,LOCATION,14,14
Secretary of State,PERSON,14,8
Ford Foundation,ORGANIZATION,14,7
Mahatma Gandhi,PERSON,14,11
Minister,PERSON,14,12
Cambridge,LOCATION,14,13
exile,EVENT,14,14
Professor Matthews,PERSON,14,9
James,PERSON,14,14
Kuala Lumpur,LOCATION,14,12
European Union,ORGANIZATION,14,11
military intelligence,ORGANIZATION,14,13
Siskai,LOCATION,14,9
Worcester,LOCATION,14,9
Evelyn,PERSON,14,7
Zinzi,PERSON,14,13
South African Defense Force,ORGANIZATION,14,12
Minister of Law and Order,PERSON,14,11
David Bruce,PERSON,14,8
APLA,ORGANIZATION,14,8
Boputatswana,LOCATION,14,9
Afrikaner Volksfront,ORGANIZATION,14,7
General Fillion,PERSON,14,6
Eugene de Blanche,PERSON,14,5
Gwangor,PERSON,13,8
Alfred,PERSON,13,12
Bantu education,EVENT,13,9
Puma,PERSON,13,7
Guinea,LOCATION,13,11
Harry,PERSON,13,10
Petersburg,LOCATION,13,12
Harry Belafonte,PERSON,13,9
Los Angeles,LOCATION,13,10
Sisulu,PERSON,13,12
early 60s,DATE_TIME,13,12
communist party,ORGANIZATION,13,10
Alexandria,LOCATION,13,11
Western countries,LOCATION,13,12
Sunday,DATE_TIME,13,12
U. N.,ORGANIZATION,13,9
IMF,ORGANIZATION,13,11
Buckingham Palace,LOCATION,13,8
Indians,PERSON,13,10
FACC,ORGANIZATION,13,9
Mexico,LOCATION,13,13
black consciousness movement,ORGANIZATION,13,11
Arthur,PERSON,13,10
ZAPU,ORGANIZATION,13,10
Mac,PERSON,13,9
Sunday Times,ORGANIZATION,13,10
EU,ORGANIZATION,13,12
Ray Alexander,PERSON,13,10
Walter Susulu,PERSON,13,12
Apartheid government,ORGANIZATION,13,11
Queenstown,LOCATION,13,8
Jerry,PERSON,13,5
Khrushchev,PERSON,13,10
Obadi,PERSON,13,2
Thatcher,PERSON,13,12
Group Areas Act,EVENT,13,11
MIT,ORGANIZATION,13,3
Indonesia,LOCATION,13,12
Marx,PERSON,13,11
Dr. King,PERSON,13,6
Kosovo,ORGANIZATION,13,13
Dakar,LOCATION,13,9
Togo,LOCATION,13,11
AK-47,ORGANIZATION,13,12
Helen Sussman,PERSON,13,11
Nobel Peace Prize,EVENT,13,11
tricameral parliament,ORGANIZATION,13,11
Inkatha Freedom Party,ORGANIZATION,13,8
Union Buildings,LOCATION,13,11
Bishop's Court,LOCATION,13,12
Gordon Brown,PERSON,13,9
Kunu,LOCATION,13,12
RBB,PERSON,13,4
Jonas Gwangwa,PERSON,12,11
Atlanta,LOCATION,12,9
Malaysia,LOCATION,12,11
Community of the Resurrection,ORGANIZATION,12,8
Jeff,PERSON,12,10
Charlie,PERSON,12,10
New Orleans,LOCATION,12,12
African-Americans,PERSON,12,7
Athens,LOCATION,12,9
Tony,PERSON,12,11
Dumas,PERSON,12,7
Smuts,PERSON,12,9
Alexander Township,LOCATION,12,8
Steve,PERSON,12,9
Steve Biko,PERSON,12,10
FACP,ORGANIZATION,12,10
sanctions,EVENT,12,12
Brussels,LOCATION,12,9
AAM,ORGANIZATION,12,8
Sean,PERSON,12,9
Daniel,PERSON,12,12
Treason Trial,EVENT,12,11
Slobo,PERSON,12,11
Michael Scott,PERSON,12,8
European Parliament,ORGANIZATION,12,9
Kwame Nkrumah,PERSON,12,10
fifties,DATE_TIME,12,10
National Liberation Movement,ORGANIZATION,12,11
Air Force,ORGANIZATION,12,11
Thursday,DATE_TIME,12,11
OU,ORGANIZATION,12,9
ZANU,ORGANIZATION,12,8
Madagascar,LOCATION,12,9
AAC,ORGANIZATION,12,11
Truth and Reconciliation Commission,EVENT,12,11
Jordan,LOCATION,12,12
Northern Transvaal,LOCATION,12,12
African,PERSON,12,12
Mali,LOCATION,12,9
Anthony Sampson,PERSON,12,11
Mrs Thatcher,PERSON,12,9
Ponderland,LOCATION,12,11
Eddie,PERSON,12,10
Bob,LOCATION,12,9
North Africa,LOCATION,12,10
King,PERSON,12,6
Deputy President,PERSON,12,11
UNC,ORGANIZATION,12,11
Owen,PERSON,12,11
Republic,LOCATION,12,10
Sarah,PERSON,12,9
North America,LOCATION,12,9
Comrade Walter,PERSON,12,5
Pan-Africanist Congress,ORGANIZATION,12,8
Liberation Movement,ORGANIZATION,12,9
Samara Machel,PERSON,12,5
Prague,LOCATION,12,9
Chile,LOCATION,12,11
Legislative Assembly,ORGANIZATION,12,4
security police,ORGANIZATION,12,12
National Intelligence,ORGANIZATION,12,9
Volkswagen,ORGANIZATION,12,8
Crossroads,LOCATION,12,11
Constantinople,LOCATION,12,9
Ms. Mandela,PERSON,12,7
Mitchell's Plain,LOCATION,12,10
Kempton Park,LOCATION,12,7
MI6,ORGANIZATION,12,5
Election Day,EVENT,12,8
Defense Force,ORGANIZATION,12,5
Dries Brouwer,PERSON,12,6
Mrs. Michelle,PERSON,12,8
Violet,PERSON,11,6
Alexandra,LOCATION,11,10
Miriam Makeba,PERSON,11,9
City Hall,LOCATION,11,10
Linda,PERSON,11,10
Tommy,PERSON,11,7
Albertina Sisulu,PERSON,11,8
Barbara,PERSON,11,10
Philip,PERSON,11,8
New Jersey,LOCATION,11,9
Jennifer,PERSON,11,9
Brian Bunting,PERSON,11,9
90s,DATE_TIME,11,11
Newcastle,LOCATION,11,11
Marxism,EVENT,11,9
Utah,LOCATION,11,10
PLO,ORGANIZATION,11,8
Barcelona,LOCATION,11,9
Michelle,PERSON,11,10
anti-Apartheid,EVENT,11,11
Matt,PERSON,11,11
Bram,PERSON,11,10
St. Peter,PERSON,11,7
Mangope,PERSON,11,9
Communists,ORGANIZATION,11,10
World Council of Churches,ORGANIZATION,11,10
Che Guevara,PERSON,11,8
Sudan,LOCATION,11,9
Zimbabweans,LOCATION,11,9
Angolans,PERSON,11,9
BAC,ORGANIZATION,11,10
USA,LOCATION,11,8
UDS,ORGANIZATION,11,8
Lisa,PERSON,11,10
South African Indian Congress,ORGANIZATION,11,9
Secretary General,ORGANIZATION,11,10
Vietnam War,EVENT,11,10
Land Act,EVENT,11,9
Sobukwe,PERSON,11,9
University of South Africa,ORGANIZATION,11,8
Nationalists,ORGANIZATION,11,10
Pope,PERSON,11,9
First World War,EVENT,11,8
Indian,PERSON,11,10
Nobel Prize,EVENT,11,9
Savimbi,PERSON,11,7
American ambassador,PERSON,11,7
Oslo,LOCATION,11,10
Moses Kortani,PERSON,11,9
IP,ORGANIZATION,11,6
ILO,ORGANIZATION,11,6
Nazis,ORGANIZATION,11,10
ICU,ORGANIZATION,11,9
trial,EVENT,11,8
Thomas,PERSON,11,9
Codessa,EVENT,11,11
P. W. Porter,PERSON,11,8
World Cup,EVENT,11,8
Christmas,DATE_TIME,11,11
Natal Indian Congress,ORGANIZATION,11,7
Govan,PERSON,11,7
COSAS,ORGANIZATION,11,8
Holy Spirit,PERSON,11,8
Nkarta,LOCATION,11,7
De Klerk,PERSON,11,11
South African Youth Congress,ORGANIZATION,11,8
KTC,LOCATION,11,7
Eugene,PERSON,11,3
Mother Teresa,PERSON,11,7
Bill Clinton,PERSON,11,9
Hammersdale,LOCATION,11,9
Limpopo,LOCATION,10,9
Mandela Foundation,ORGANIZATION,10,10
Kitu,PERSON,10,7
Vi,PERSON,10,5
Raymond,PERSON,10,7
Trafalgar Square,LOCATION,10,9
Livingston,LOCATION,10,9
Senegal,LOCATION,10,8
Khayelitsha,LOCATION,10,8
Henry,PERSON,10,9
St. Thomas,LOCATION,10,6
Zola,PERSON,10,6
Alice,LOCATION,10,9
Somalia,LOCATION,10,8
World Bank,ORGANIZATION,10,8
Christian,PERSON,10,10
Birmingham,LOCATION,10,7
Makatini,PERSON,10,6
ANZ,ORGANIZATION,10,10
Lebalo,PERSON,10,7
Cambodia,LOCATION,10,10
Zululand,LOCATION,10,8
South African people,ORGANIZATION,10,8
President Tambo,PERSON,10,4
Constance,PERSON,10,8
South America,LOCATION,10,9
Suppression of Communism Act,EVENT,10,9
Gary,PERSON,10,6
Ivory Coast,LOCATION,10,7
30 years,DATE_TIME,10,9
Addis Ababa,LOCATION,10,8
Northern Cape,LOCATION,10,7
English,LOCATION,10,10
special branch,ORGANIZATION,10,10
Rashid,PERSON,10,7
Nassau,LOCATION,10,8
Flagstaff,LOCATION,10,7
Mr. Thatcher,PERSON,10,7
Craig Williamson,PERSON,10,8
Trans-Africa,ORGANIZATION,10,6
Beijing,LOCATION,10,8
Transcar,LOCATION,10,7
Mao,PERSON,10,6
CCB,ORGANIZATION,10,7
Sydney,LOCATION,10,10
Brian,PERSON,10,5
Tito,PERSON,10,7
PE,LOCATION,10,8
Putin,PERSON,10,9
Nepal,LOCATION,10,8
THC,ORGANIZATION,10,8
Foster,PERSON,10,7
USSR,LOCATION,10,6
Hilltown,LOCATION,10,6
CAC,ORGANIZATION,10,9
Kennedy,PERSON,10,8
NRC,ORGANIZATION,10,7
Kate,PERSON,10,8
Mediva,PERSON,10,7
Fani,PERSON,10,6
MP,ORGANIZATION,10,9
George Bezos,PERSON,10,7
Matiba,PERSON,10,9
Afrikanerdom,ORGANIZATION,10,4
Hansard,ORGANIZATION,10,8
20 years,DATE_TIME,10,10
Sibukeng,LOCATION,10,8
Cape Democrats,ORGANIZATION,10,9
Cheryl,PERSON,10,8
Charles Bester,PERSON,10,6
ANWB,ORGANIZATION,10,3
27th,DATE_TIME,10,7
Prince Buthelezi,PERSON,10,7
Katlahong,LOCATION,10,8
