Name/Entity,Entity Type,Mention Count,Number of Files
ANC,ORGANIZATION,3334,533
South Africa,LOCATION,1969,592
Nelson Mandela,PERSON,899,357
Oliver,PERSON,853,101
London,LOCATION,720,248
Apartheid,DATE_TIME,698,333
Mandela,PERSON,579,250
O. R.,PERSON,516,103
Madiba,PERSON,515,130
Cape Town,LOCATION,481,269
Johannesburg,LOCATION,428,223
IFP,ORGANIZATION,381,99
Angola,LOCATION,360,134
Lusaka,LOCATION,350,147
United States,LOCATION,322,155
Africa,LOCATION,306,191
African National Congress,ORGANIZATION,300,148
Mozambique,LOCATION,292,125
Botswana,LOCATION,283,115
Nelson,PERSON,272,95
Tanzania,LOCATION,266,110
Mr. Mandela,PERSON,246,127
National Party,ORGANIZATION,235,107
Pretoria,LOCATION,230,132
PAC,ORGANIZATION,227,109
OR,PERSON,222,75
MK,ORGANIZATION,220,101
Zimbabwe,LOCATION,217,123
Communist Party,ORGANIZATION,217,108
Soviet Union,ORGANIZATION,216,109
New York,LOCATION,207,103
Durban,LOCATION,200,100
Tambo,PERSON,196,75
Zambia,LOCATION,195,98
Robben Island,LOCATION,188,96
United Nations,ORGANIZATION,187,108
Oliver Tambo,PERSON,185,93
UDF,ORGANIZATION,181,104
England,LOCATION,180,116
India,LOCATION,178,98
AWB,ORGANIZATION,178,40
South African government,ORGANIZATION,171,108
Namibia,LOCATION,151,85
America,LOCATION,149,107
Britain,LOCATION,146,83
Mr. De Klerk,PERSON,146,70
Natal,LOCATION,140,91
Germany,LOCATION,134,97
Adelaide,PERSON,134,53
Soweto,LOCATION,130,89
Sweden,LOCATION,128,61
NEC,ORGANIZATION,123,60
South Africans,PERSON,117,90
Parliament,ORGANIZATION,114,75
Nationalist Party,ORGANIZATION,109,49
China,LOCATION,108,62
state of emergency,EVENT,108,80
Freedom Charter,EVENT,107,67
Dar es Salaam,LOCATION,106,46
France,LOCATION,104,71
Europe,LOCATION,103,80
Swaziland,LOCATION,103,58
Afrikaner,PERSON,97,24
Southern Africa,LOCATION,96,58
Transvaal,LOCATION,94,54
Joe,PERSON,90,50
Nigeria,LOCATION,88,52
Congress,ORGANIZATION,88,61
St. Peter's,LOCATION,87,31
Maputo,LOCATION,86,43
anti-Apartheid movement,EVENT,85,41
Walter,PERSON,84,49
Ghana,LOCATION,83,51
Zulu,PERSON,83,45
Oliver Campbell,PERSON,78,46
Youth League,ORGANIZATION,77,35
UN,ORGANIZATION,75,43
Lesotho,LOCATION,75,45
Washington,LOCATION,74,49
OAU,ORGANIZATION,74,42
Western Cape,LOCATION,73,50
Cuba,LOCATION,72,51
KwaZulu,LOCATION,72,23
Indian Congress,ORGANIZATION,70,39
South African,LOCATION,68,57
John,PERSON,68,42
British,ORGANIZATION,68,52
GDR,LOCATION,68,24
Afrikaners,PERSON,68,44
Jonas,PERSON,67,19
KwaZulu-Natal,LOCATION,67,39
Orlando,LOCATION,66,41
Jack,PERSON,66,20
Zelda,PERSON,66,34
Australia,LOCATION,65,52
KZN,LOCATION,65,26
Canada,LOCATION,64,52
Chris,PERSON,64,43
AMC,ORGANIZATION,63,50
UK,LOCATION,63,49
SADF,ORGANIZATION,63,35
defiance campaign,EVENT,63,46
Holland,LOCATION,62,40
Eastern Cape,LOCATION,62,40
Rwanda,LOCATION,62,47
U. S.,LOCATION,62,47
Vietnam,LOCATION,62,42
State President,PERSON,62,35
Peter,PERSON,61,44
Moscow,LOCATION,60,44
Boston,LOCATION,60,24
treason trial,EVENT,60,41
Inkatha,ORGANIZATION,60,36
Ruth,PERSON,59,35
Winnie,PERSON,59,42
President,PERSON,59,49
COSATU,ORGANIZATION,59,43
60s,DATE_TIME,58,43
Kenya,LOCATION,57,45
government,ORGANIZATION,57,48
George,LOCATION,56,37
SACP,ORGANIZATION,56,37
Amanda,PERSON,54,22
Amandla,EVENT,53,20
Johnny,PERSON,53,23
Paris,LOCATION,53,38
September,DATE_TIME,53,38
Chris Harney,PERSON,53,37
Labour Party,ORGANIZATION,53,34
Port Elizabeth,LOCATION,52,40
Rhodesia,LOCATION,52,30
Cape,LOCATION,51,34
Volksfront,ORGANIZATION,51,14
Conservative Party,ORGANIZATION,50,24
Israel,LOCATION,49,40
Mr Mandela,PERSON,49,36
Nelson Mandela Foundation,ORGANIZATION,48,27
Mugabe,PERSON,48,36
MDM,ORGANIZATION,48,31
Hugh,PERSON,47,16
Moses,PERSON,47,22
Thabo Mbeki,PERSON,47,36
Shell House,LOCATION,46,22
Japan,LOCATION,46,43
April,DATE_TIME,46,40
Walter Sisulu,PERSON,46,34
Commonwealth,ORGANIZATION,46,24
Russia,LOCATION,46,39
